pack,file,slot,theme,width,height,orig
workspace,packs/workspace/card-02.jpg,card,,1024,1024,workspace/card-02.png
workspace,packs/workspace/framed-01.jpg,framed,,1200,896,workspace/framed-01.png
workspace,packs/workspace/framed-02.jpg,framed,,1200,896,workspace/framed-02.png
workspace,packs/workspace/hero-01.jpg,hero,,3168,1344,workspace/hero-01.png
workspace,packs/workspace/hero-02.jpg,hero,,3168,1344,workspace/hero-02.png
workspace,packs/workspace/hero-03.jpg,hero,,2752,1536,workspace/hero-03.png
workspace,packs/workspace/split-01.jpg,split,,928,1152,workspace/split-01.png
workspace,packs/workspace/split-02.jpg,split,,928,1152,workspace/split-02.png
theme-ambient,packs/theme-ambient/clarity-ambient-01.jpg,ambient,clarity,1376,768,theme-ambient/clarity-ambient-01.png
theme-ambient,packs/theme-ambient/clarity-texture-01.jpg,texture,clarity,1376,768,theme-ambient/clarity-texture-01.png
theme-ambient,packs/theme-ambient/cyberpunk-ambient-01.jpg,ambient,cyberpunk,1376,768,theme-ambient/cyberpunk-ambient-01.png
theme-ambient,packs/theme-ambient/cyberpunk-texture-01.jpg,texture,cyberpunk,1376,768,theme-ambient/cyberpunk-texture-01.png
theme-ambient,packs/theme-ambient/editorial-ambient-01.jpg,ambient,editorial,1376,768,theme-ambient/editorial-ambient-01.png
theme-ambient,packs/theme-ambient/flowrunner-ambient-01.jpg,ambient,flowrunner,1376,768,theme-ambient/flowrunner-ambient-01.png
theme-ambient,packs/theme-ambient/flowrunner-texture-01.jpg,texture,flowrunner,1376,768,theme-ambient/flowrunner-texture-01.png
theme-ambient,packs/theme-ambient/graphite-ambient-01.jpg,ambient,graphite,1376,768,theme-ambient/graphite-ambient-01.png
theme-ambient,packs/theme-ambient/graphite-texture-01.jpg,texture,graphite,1376,768,theme-ambient/graphite-texture-01.png
theme-ambient,packs/theme-ambient/neo-brutalism-ambient-01.jpg,ambient,neo-brutalism,1376,768,theme-ambient/neo-brutalism-ambient-01.png
theme-ambient,packs/theme-ambient/neo-brutalism-texture-01.jpg,texture,neo-brutalism,1376,768,theme-ambient/neo-brutalism-texture-01.png
