pack,file,slot,theme,width,height,orig
lumen,packs/lumen/hero-01.jpg,hero,,3168,1344,v2:lumen/hero-01.png
lumen,packs/lumen/hero-02.jpg,hero,,3168,1344,v2:lumen/hero-02.png
lumen,packs/lumen/split-01.jpg,split,,928,1152,v2:lumen/split-01.png
lumen,packs/lumen/split-02.jpg,split,,928,1152,v2:lumen/split-02.png
meridian,packs/meridian/hero-04.jpg,hero,,3168,1344,v2:meridian/hero-04.png
meridian,packs/meridian/hero-05.jpg,hero,,3168,1344,v2:meridian/hero-05.png
solstice,packs/solstice/hero-04.jpg,hero,,3168,1344,v2:solstice/hero-04.png
solstice,packs/solstice/hero-05.jpg,hero,,3168,1344,v2:solstice/hero-05.png
stillwater,packs/stillwater/hero-04.jpg,hero,,3168,1344,v2:stillwater/hero-04.png
stillwater,packs/stillwater/hero-05.jpg,hero,,3168,1344,v2:stillwater/hero-05.png
vital,packs/vital/ambient-01.jpg,ambient,,1376,768,v2:vital/ambient-01.png
vital,packs/vital/ambient-02.jpg,ambient,,1376,768,v2:vital/ambient-02.png
vital,packs/vital/card-01.jpg,card,,1264,848,v2:vital/card-01.png
vital,packs/vital/card-02.jpg,card,,1024,1024,v2:vital/card-02.png
vital,packs/vital/framed-01.jpg,framed,,1200,896,v2:vital/framed-01.png
vital,packs/vital/hero-01.jpg,hero,,3168,1344,v2:vital/hero-01.png
vital,packs/vital/hero-02.jpg,hero,,3168,1344,v2:vital/hero-02.png
vital,packs/vital/split-01.jpg,split,,928,1152,v2:vital/split-01.png
vital,packs/vital/split-02.jpg,split,,928,1152,v2:vital/split-02.png
voices,packs/voices/avatar-09.jpg,avatar,,1024,1024,v2:voices/avatar-09.png
voices,packs/voices/avatar-10.jpg,avatar,,1024,1024,v2:voices/avatar-10.png
voices,packs/voices/avatar-11.jpg,avatar,,1024,1024,v2:voices/avatar-11.png
voices,packs/voices/avatar-12.jpg,avatar,,1024,1024,v2:voices/avatar-12.png
voices,packs/voices/avatar-13.jpg,avatar,,1024,1024,v2:voices/avatar-13.png
voices,packs/voices/avatar-14.jpg,avatar,,1024,1024,v2:voices/avatar-14.png
voices,packs/voices/avatar-15.jpg,avatar,,1024,1024,v2:voices/avatar-15.png
voices,packs/voices/avatar-16.jpg,avatar,,1024,1024,v2:voices/avatar-16.png
workspace,packs/workspace/hero-04.jpg,hero,,3168,1344,v2:workspace/hero-04.png
workspace,packs/workspace/hero-05.jpg,hero,,3168,1344,v2:workspace/hero-05.png
