pack,file,slot,theme,width,height,orig
alpine-modern,packs/alpine-modern/hero-04.jpg,hero,,3168,1344,v2:alpine-modern/hero-90.png
alpine-modern,packs/alpine-modern/hero-05.jpg,hero,,3168,1344,v2:alpine-modern/hero-91.png
atelier,packs/atelier/hero-04.jpg,hero,,3168,1344,v2:atelier/hero-04.png
atelier,packs/atelier/hero-05.jpg,hero,,3168,1344,v2:atelier/hero-05.png
campus,packs/campus/ambient-01.jpg,ambient,,1376,768,v2:campus/ambient-01.png
campus,packs/campus/ambient-02.jpg,ambient,,1376,768,v2:campus/ambient-02.png
campus,packs/campus/card-01.jpg,card,,1264,848,v2:campus/card-01.png
campus,packs/campus/card-02.jpg,card,,1024,1024,v2:campus/card-02.png
campus,packs/campus/framed-01.jpg,framed,,1200,896,v2:campus/framed-01.png
campus,packs/campus/hero-01.jpg,hero,,3168,1344,v2:campus/hero-01.png
campus,packs/campus/split-01.jpg,split,,928,1152,v2:campus/split-01.png
campus,packs/campus/split-02.jpg,split,,928,1152,v2:campus/split-02.png
companion,packs/companion/ambient-01.jpg,ambient,,1376,768,v2:companion/ambient-02.png
companion,packs/companion/card-01.jpg,card,,1264,848,v2:companion/card-01.png
companion,packs/companion/card-02.jpg,card,,1024,1024,v2:companion/card-02.png
companion,packs/companion/framed-01.jpg,framed,,1200,896,v2:companion/framed-01.png
companion,packs/companion/hero-01.jpg,hero,,3168,1344,v2:companion/hero-01.png
companion,packs/companion/hero-02.jpg,hero,,3168,1344,v2:companion/hero-02.png
companion,packs/companion/split-01.jpg,split,,928,1152,v2:companion/split-01.png
companion,packs/companion/split-02.jpg,split,,928,1152,v2:companion/split-02.png
counsel,packs/counsel/ambient-01.jpg,ambient,,1376,768,v2:counsel/ambient-01.png
counsel,packs/counsel/ambient-02.jpg,ambient,,1376,768,v2:counsel/ambient-02.png
counsel,packs/counsel/card-01.jpg,card,,1264,848,v2:counsel/card-01.png
counsel,packs/counsel/card-02.jpg,card,,1024,1024,v2:counsel/card-02.png
counsel,packs/counsel/framed-01.jpg,framed,,1200,896,v2:counsel/framed-01.png
counsel,packs/counsel/hero-01.jpg,hero,,3168,1344,v2:counsel/hero-01.png
counsel,packs/counsel/hero-02.jpg,hero,,3168,1344,v2:counsel/hero-02.png
counsel,packs/counsel/split-01.jpg,split,,928,1152,v2:counsel/split-01.png
counsel,packs/counsel/split-02.jpg,split,,928,1152,v2:counsel/split-02.png
ember,packs/ember/hero-04.jpg,hero,,3168,1344,v2:ember/hero-04.png
ember,packs/ember/hero-05.jpg,hero,,3168,1344,v2:ember/hero-05.png
gather,packs/gather/ambient-01.jpg,ambient,,1376,768,v2:gather/ambient-01.png
gather,packs/gather/ambient-02.jpg,ambient,,1376,768,v2:gather/ambient-02.png
gather,packs/gather/card-01.jpg,card,,1264,848,v2:gather/card-01.png
gather,packs/gather/card-02.jpg,card,,1024,1024,v2:gather/card-02.png
gather,packs/gather/framed-01.jpg,framed,,1200,896,v2:gather/framed-01.png
gather,packs/gather/hero-01.jpg,hero,,3168,1344,v2:gather/hero-01.png
gather,packs/gather/split-01.jpg,split,,928,1152,v2:gather/split-01.png
gather,packs/gather/split-02.jpg,split,,928,1152,v2:gather/split-02.png
ledger,packs/ledger/hero-08.jpg,hero,,3168,1344,v2:ledger/hero-04.png
ledger,packs/ledger/hero-09.jpg,hero,,3168,1344,v2:ledger/hero-05.png
lumen,packs/lumen/ambient-01.jpg,ambient,,1376,768,v2:lumen/ambient-01.png
lumen,packs/lumen/ambient-02.jpg,ambient,,1376,768,v2:lumen/ambient-02.png
lumen,packs/lumen/card-01.jpg,card,,1264,848,v2:lumen/card-01.png
lumen,packs/lumen/card-02.jpg,card,,1024,1024,v2:lumen/card-02.png
lumen,packs/lumen/framed-01.jpg,framed,,1200,896,v2:lumen/framed-01.png
